age,ethnicity,value
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.0
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0
13,0,0.0
13,1,0.0
13,2,0.0
13,3,0.0
14,0,0.0
14,1,0.0
14,2,0.0
14,3,0.0
15,0,0.0009
15,1,0.00099
15,2,0.00108
15,3,0.00117
16,0,0.0016
16,1,0.00176
16,2,0.00192
16,3,0.00208
17,0,0.0028
17,1,0.00308
17,2,0.00336
17,3,0.00364
18,0,0.0044
18,1,0.00484
18,2,0.00528
18,3,0.00572
19,0,0.0067
19,1,0.00737
19,2,0.00804
19,3,0.00871
20,0,0.0096
20,1,0.01056
20,2,0.01152
20,3,0.01248
21,0,0.0132
21,1,0.01452
21,2,0.01584
21,3,0.01716
22,0,0.0175
22,1,0.01925
22,2,0.021
22,3,0.02275
23,0,0.0223
23,1,0.02453
23,2,0.02676
23,3,0.02899
24,0,0.0274
24,1,0.03014
24,2,0.03288
24,3,0.03562
25,0,0.0329
25,1,0.03619
25,2,0.03948
25,3,0.04277
26,0,0.0383
26,1,0.04213
26,2,0.04596
26,3,0.04979
27,0,0.0436
27,1,0.04796
27,2,0.05232
27,3,0.05668
28,0,0.0485
28,1,0.05335
28,2,0.0582
28,3,0.06305
29,0,0.0528
29,1,0.05808
29,2,0.06336
29,3,0.06864
30,0,0.0563
30,1,0.06193
30,2,0.06756
30,3,0.07319
31,0,0.0588
31,1,0.06468
31,2,0.07056
31,3,0.07644
32,0,0.0603
32,1,0.06633
32,2,0.07236
32,3,0.07839
33,0,0.0606
33,1,0.06666
33,2,0.07272
33,3,0.07878
34,0,0.0598
34,1,0.06578
34,2,0.07176
34,3,0.07774
35,0,0.0579
35,1,0.06369
35,2,0.06948
35,3,0.07527
36,0,0.0549
36,1,0.06039
36,2,0.06588
36,3,0.07137
37,0,0.051
37,1,0.0561
37,2,0.0612
37,3,0.0663
38,0,0.0465
38,1,0.05115
38,2,0.0558
38,3,0.06045
39,0,0.0415
39,1,0.04565
39,2,0.0498
39,3,0.05395
40,0,0.0364
40,1,0.04004
40,2,0.04368
40,3,0.04732
41,0,0.0312
41,1,0.03432
41,2,0.03744
41,3,0.04056
42,0,0.0263
42,1,0.02893
42,2,0.03156
42,3,0.03419
43,0,0.0218
43,1,0.02398
43,2,0.02616
43,3,0.02834
44,0,0.0178
44,1,0.01958
44,2,0.02136
44,3,0.02314
45,0,0.0143
45,1,0.01573
45,2,0.01716
45,3,0.01859
46,0,0.0
46,1,0.0
46,2,0.0
46,3,0.0
47,0,0.0
47,1,0.0
47,2,0.0
47,3,0.0
48,0,0.0
48,1,0.0
48,2,0.0
48,3,0.0
49,0,0.0
49,1,0.0
49,2,0.0
49,3,0.0
50,0,0.0
50,1,0.0
50,2,0.0
50,3,0.0
51,0,0.0
51,1,0.0
51,2,0.0
51,3,0.0
52,0,0.0
52,1,0.0
52,2,0.0
52,3,0.0
53,0,0.0
53,1,0.0
53,2,0.0
53,3,0.0
54,0,0.0
54,1,0.0
54,2,0.0
54,3,0.0
55,0,0.0
55,1,0.0
55,2,0.0
55,3,0.0
56,0,0.0
56,1,0.0
56,2,0.0
56,3,0.0
57,0,0.0
57,1,0.0
57,2,0.0
57,3,0.0
58,0,0.0
58,1,0.0
58,2,0.0
58,3,0.0
59,0,0.0
59,1,0.0
59,2,0.0
59,3,0.0
60,0,0.0
60,1,0.0
60,2,0.0
60,3,0.0
61,0,0.0
61,1,0.0
61,2,0.0
61,3,0.0
62,0,0.0
62,1,0.0
62,2,0.0
62,3,0.0
63,0,0.0
63,1,0.0
63,2,0.0
63,3,0.0
64,0,0.0
64,1,0.0
64,2,0.0
64,3,0.0
65,0,0.0
65,1,0.0
65,2,0.0
65,3,0.0
66,0,0.0
66,1,0.0
66,2,0.0
66,3,0.0
67,0,0.0
67,1,0.0
67,2,0.0
67,3,0.0
68,0,0.0
68,1,0.0
68,2,0.0
68,3,0.0
69,0,0.0
69,1,0.0
69,2,0.0
69,3,0.0
70,0,0.0
70,1,0.0
70,2,0.0
70,3,0.0
71,0,0.0
71,1,0.0
71,2,0.0
71,3,0.0
72,0,0.0
72,1,0.0
72,2,0.0
72,3,0.0
73,0,0.0
73,1,0.0
73,2,0.0
73,3,0.0
74,0,0.0
74,1,0.0
74,2,0.0
74,3,0.0
75,0,0.0
75,1,0.0
75,2,0.0
75,3,0.0
76,0,0.0
76,1,0.0
76,2,0.0
76,3,0.0
77,0,0.0
77,1,0.0
77,2,0.0
77,3,0.0
78,0,0.0
78,1,0.0
78,2,0.0
78,3,0.0
79,0,0.0
79,1,0.0
79,2,0.0
79,3,0.0
80,0,0.0
80,1,0.0
80,2,0.0
80,3,0.0
81,0,0.0
81,1,0.0
81,2,0.0
81,3,0.0
82,0,0.0
82,1,0.0
82,2,0.0
82,3,0.0
83,0,0.0
83,1,0.0
83,2,0.0
83,3,0.0
84,0,0.0
84,1,0.0
84,2,0.0
84,3,0.0
85,0,0.0
85,1,0.0
85,2,0.0
85,3,0.0
86,0,0.0
86,1,0.0
86,2,0.0
86,3,0.0
87,0,0.0
87,1,0.0
87,2,0.0
87,3,0.0
88,0,0.0
88,1,0.0
88,2,0.0
88,3,0.0
89,0,0.0
89,1,0.0
89,2,0.0
89,3,0.0
90,0,0.0
90,1,0.0
90,2,0.0
90,3,0.0
91,0,0.0
91,1,0.0
91,2,0.0
91,3,0.0
92,0,0.0
92,1,0.0
92,2,0.0
92,3,0.0
93,0,0.0
93,1,0.0
93,2,0.0
93,3,0.0
94,0,0.0
94,1,0.0
94,2,0.0
94,3,0.0
95,0,0.0
95,1,0.0
95,2,0.0
95,3,0.0
96,0,0.0
96,1,0.0
96,2,0.0
96,3,0.0
97,0,0.0
97,1,0.0
97,2,0.0
97,3,0.0
98,0,0.0
98,1,0.0
98,2,0.0
98,3,0.0
99,0,0.0
99,1,0.0
99,2,0.0
99,3,0.0
100,0,0.0
100,1,0.0
100,2,0.0
100,3,0.0
