age,value
0,0.0010
1,0.0011
2,0.0012
3,0.0013
4,0.0014
5,0.0015
6,0.0016
7,0.0017
8,0.0018
9,0.0019
10,0.0020
11,0.0021
12,0.0022
13,0.0023
14,0.0024
15,0.0025
16,0.0026
17,0.0027
18,0.0028
19,0.0029
20,0.0030
21,0.0031
22,0.0032
23,0.0033
24,0.0034
25,0.0035
26,0.0036
27,0.0037
28,0.0038
29,0.0039
30,0.0040
31,0.0041
32,0.0042
33,0.0043
34,0.0044
35,0.0045
36,0.0046
37,0.0047
38,0.0048
39,0.0049
40,0.0050
41,0.0051
42,0.0052
43,0.0053
44,0.0054
45,0.0055
46,0.0056
47,0.0057
48,0.0058
49,0.0059
50,0.0060
51,0.0061
52,0.0062
53,0.0063
54,0.0064
55,0.0065
56,0.0066
57,0.0067
58,0.0068
59,0.0069
60,0.0070
61,0.0071
62,0.0072
63,0.0073
64,0.0074
65,0.0075
66,0.0076
67,0.0077
68,0.0078
69,0.0079
70,0.0080
71,0.0081
72,0.0082
73,0.0083
74,0.0084
75,0.0085
76,0.0086
77,0.0087
78,0.0088
79,0.0089
80,0.0090
81,0.0091
82,0.0092
83,0.0093
84,0.0094
85,0.0095
86,0.0096
87,0.0097
88,0.0098
89,0.0099
90,0.0100
91,0.0101
92,0.0102
93,0.0103
94,0.0104
95,0.0105
96,0.0106
97,0.0107
98,0.0108
99,0.0109
100,0.0110
