area_id,id,demographic_id,age,education,gender,ethnicity,family_ratio,income,household_id,relationship
d2,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d1,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d13,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d16,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d11,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d23,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d23,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d18,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d18,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d19,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d34,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d48,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d50,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d52,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d33,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d56,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d58,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d67,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d40,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d72,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d36,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d78,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d75,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d82,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d85,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d85,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d29,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d101,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d88,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d106,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d102,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
d102,d100_491,retired,81,1,0,0,0.3,3275,d100_hh164,head
