age,ethnicity,value
0,0,0.001
0,1,0.0012
0,2,0.0014
0,3,0.0016
1,0,0.0011
1,1,0.00132
1,2,0.00154
1,3,0.00176
2,0,0.0012
2,1,0.00144
2,2,0.00168
2,3,0.00192
3,0,0.0013
3,1,0.00156
3,2,0.00182
3,3,0.00208
4,0,0.0014
4,1,0.00168
4,2,0.00196
4,3,0.00224
5,0,0.0015
5,1,0.0018
5,2,0.0021
5,3,0.0024
6,0,0.0016
6,1,0.00192
6,2,0.00224
6,3,0.00256
7,0,0.0017
7,1,0.00204
7,2,0.00238
7,3,0.00272
8,0,0.0018
8,1,0.00216
8,2,0.00252
8,3,0.00288
9,0,0.0019
9,1,0.00228
9,2,0.00266
9,3,0.00304
10,0,0.002
10,1,0.0024
10,2,0.0028
10,3,0.0032
11,0,0.0021
11,1,0.00252
11,2,0.00294
11,3,0.00336
12,0,0.0022
12,1,0.00264
12,2,0.00308
12,3,0.00352
13,0,0.0023
13,1,0.00276
13,2,0.00322
13,3,0.00368
14,0,0.0024
14,1,0.00288
14,2,0.00336
14,3,0.00384
15,0,0.0025
15,1,0.003
15,2,0.0035
15,3,0.004
16,0,0.0026
16,1,0.00312
16,2,0.00364
16,3,0.00416
17,0,0.0027
17,1,0.00324
17,2,0.00378
17,3,0.00432
18,0,0.0028
18,1,0.00336
18,2,0.00392
18,3,0.00448
19,0,0.0029
19,1,0.00348
19,2,0.00406
19,3,0.00464
20,0,0.003
20,1,0.0036
20,2,0.0042
20,3,0.0048
21,0,0.0031
21,1,0.00372
21,2,0.00434
21,3,0.00496
22,0,0.0032
22,1,0.00384
22,2,0.00448
22,3,0.00512
23,0,0.0033
23,1,0.00396
23,2,0.00462
23,3,0.00528
24,0,0.0034
24,1,0.00408
24,2,0.00476
24,3,0.00544
25,0,0.0035
25,1,0.0042
25,2,0.0049
25,3,0.0056
26,0,0.0036
26,1,0.00432
26,2,0.00504
26,3,0.00576
27,0,0.0037
27,1,0.00444
27,2,0.00518
27,3,0.00592
28,0,0.0038
28,1,0.00456
28,2,0.00532
28,3,0.00608
29,0,0.0039
29,1,0.00468
29,2,0.00546
29,3,0.00624
30,0,0.004
30,1,0.0048
30,2,0.0056
30,3,0.0064
31,0,0.0041
31,1,0.00492
31,2,0.00574
31,3,0.00656
32,0,0.0042
32,1,0.00504
32,2,0.00588
32,3,0.00672
33,0,0.0043
33,1,0.00516
33,2,0.00602
33,3,0.00688
34,0,0.0044
34,1,0.00528
34,2,0.00616
34,3,0.00704
35,0,0.0045
35,1,0.0054
35,2,0.0063
35,3,0.0072
36,0,0.0046
36,1,0.00552
36,2,0.00644
36,3,0.00736
37,0,0.0047
37,1,0.00564
37,2,0.00658
37,3,0.00752
38,0,0.0048
38,1,0.00576
38,2,0.00672
38,3,0.00768
39,0,0.0049
39,1,0.00588
39,2,0.00686
39,3,0.00784
40,0,0.005
40,1,0.006
40,2,0.007
40,3,0.008
41,0,0.0051
41,1,0.00612
41,2,0.00714
41,3,0.00816
42,0,0.0052
42,1,0.00624
42,2,0.00728
42,3,0.00832
43,0,0.0053
43,1,0.00636
43,2,0.00742
43,3,0.00848
44,0,0.0054
44,1,0.00648
44,2,0.00756
44,3,0.00864
45,0,0.0055
45,1,0.0066
45,2,0.0077
45,3,0.0088
46,0,0.0056
46,1,0.00672
46,2,0.00784
46,3,0.00896
47,0,0.0057
47,1,0.00684
47,2,0.00798
47,3,0.00912
48,0,0.0058
48,1,0.00696
48,2,0.00812
48,3,0.00928
49,0,0.0059
49,1,0.00708
49,2,0.00826
49,3,0.00944
50,0,0.006
50,1,0.0072
50,2,0.0084
50,3,0.0096
51,0,0.0061
51,1,0.00732
51,2,0.00854
51,3,0.00976
52,0,0.0062
52,1,0.00744
52,2,0.00868
52,3,0.00992
53,0,0.0063
53,1,0.00756
53,2,0.00882
53,3,0.01008
54,0,0.0064
54,1,0.00768
54,2,0.00896
54,3,0.01024
55,0,0.0065
55,1,0.0078
55,2,0.0091
55,3,0.0104
56,0,0.0066
56,1,0.00792
56,2,0.00924
56,3,0.01056
57,0,0.0067
57,1,0.00804
57,2,0.00938
57,3,0.01072
58,0,0.0068
58,1,0.00816
58,2,0.00952
58,3,0.01088
59,0,0.0069
59,1,0.00828
59,2,0.00966
59,3,0.01104
60,0,0.007
60,1,0.0084
60,2,0.0098
60,3,0.0112
61,0,0.0071
61,1,0.00852
61,2,0.00994
61,3,0.01136
62,0,0.0072
62,1,0.00864
62,2,0.01008
62,3,0.01152
63,0,0.0073
63,1,0.00876
63,2,0.01022
63,3,0.01168
64,0,0.0074
64,1,0.00888
64,2,0.01036
64,3,0.01184
65,0,0.0075
65,1,0.009
65,2,0.0105
65,3,0.012
66,0,0.0076
66,1,0.00912
66,2,0.01064
66,3,0.01216
67,0,0.0077
67,1,0.00924
67,2,0.01078
67,3,0.01232
68,0,0.0078
68,1,0.00936
68,2,0.01092
68,3,0.01248
69,0,0.0079
69,1,0.00948
69,2,0.01106
69,3,0.01264
70,0,0.008
70,1,0.0096
70,2,0.0112
70,3,0.0128
71,0,0.0081
71,1,0.00972
71,2,0.01134
71,3,0.01296
72,0,0.0082
72,1,0.00984
72,2,0.01148
72,3,0.01312
73,0,0.0083
73,1,0.00996
73,2,0.01162
73,3,0.01328
74,0,0.0084
74,1,0.01008
74,2,0.01176
74,3,0.01344
75,0,0.0085
75,1,0.0102
75,2,0.0119
75,3,0.0136
76,0,0.0086
76,1,0.01032
76,2,0.01204
76,3,0.01376
77,0,0.0087
77,1,0.01044
77,2,0.01218
77,3,0.01392
78,0,0.0088
78,1,0.01056
78,2,0.01232
78,3,0.01408
79,0,0.0089
79,1,0.01068
79,2,0.01246
79,3,0.01424
80,0,0.009
80,1,0.0108
80,2,0.0126
80,3,0.0144
81,0,0.0091
81,1,0.01092
81,2,0.01274
81,3,0.01456
82,0,0.0092
82,1,0.01104
82,2,0.01288
82,3,0.01472
83,0,0.0093
83,1,0.01116
83,2,0.01302
83,3,0.01488
84,0,0.0094
84,1,0.01128
84,2,0.01316
84,3,0.01504
85,0,0.0095
85,1,0.0114
85,2,0.0133
85,3,0.0152
86,0,0.0096
86,1,0.01152
86,2,0.01344
86,3,0.01536
87,0,0.0097
87,1,0.01164
87,2,0.01358
87,3,0.01552
88,0,0.0098
88,1,0.01176
88,2,0.01372
88,3,0.01568
89,0,0.0099
89,1,0.01188
89,2,0.01386
89,3,0.01584
90,0,0.01
90,1,0.012
90,2,0.014
90,3,0.016
91,0,0.0101
91,1,0.01212
91,2,0.01414
91,3,0.01616
92,0,0.0102
92,1,0.01224
92,2,0.01428
92,3,0.01632
93,0,0.0103
93,1,0.01236
93,2,0.01442
93,3,0.01648
94,0,0.0104
94,1,0.01248
94,2,0.01456
94,3,0.01664
95,0,0.0105
95,1,0.0126
95,2,0.0147
95,3,0.0168
96,0,0.0106
96,1,0.01272
96,2,0.01484
96,3,0.01696
97,0,0.0107
97,1,0.01284
97,2,0.01498
97,3,0.01712
98,0,0.0108
98,1,0.01296
98,2,0.01512
98,3,0.01728
99,0,0.0109
99,1,0.01308
99,2,0.01526
99,3,0.01744
100,0,0.011
100,1,0.0132
100,2,0.0154
100,3,0.0176
